日期,话题,公司,标题,核心内容,是否头条,来源,链接,,,,,,,,,,,,,,,
2026/2/26,产品动态,MiniMax,MiniMax推出MaxClaw框架，支持OpenClaw协议并集成万名专家Agent,MiniMax正式发布基于OpenClaw框架深度优化的MaxClaw工具，实现智能体的一键式云端部署。该产品核心功能是开放了上万个覆盖垂直行业知识的专家智能体库，支持用户通过自然语言直接调用。其通过优化调用成本与响应速度，降低了企业级Agent的构建门槛，旨在抢占生产力工具市场。,0,财联社AI daily,https://mp.weixin.qq.com/s/UZknxWuLVwH6oXmBuEB2WQ,,,,,,,,,,,,,,,
2026/2/26,产品动态,MiniMax,MiniMax 深度适配 OpenClaw 实现一键部署，集成上万名垂直行业专家 Agent,MiniMax 宣布全面打通 OpenClaw 框架，用户现可在该框架下无缝部署 MiniMax 底层模型驱动的智能体。核心动作为集成了一套包含上万个覆盖医学、法律、工程等领域的专家智能体库，支持多 Agent 协作。其通过降低部署成本，旨在吸引开发者在其生态上构建业务逻辑，加速了 AI 从技术原型向生产力的转化。,0,量子位,https://mp.weixin.qq.com/s/cLW-zKzQpDu59IIiTTSd0Q,,,,,,,,,,,,,,,
2026/2/26,商业动态,OpenAI,OpenAI 发布恶意利用 AI 分析报告，披露并中断多起虚假信息生成活动,OpenAI 发布深度报告，披露了过去数月中其安全系统拦截的多起利用大模型生成误导性内容的攻击案例。核心动作是切断了若干违规账户，并升级了行为评估算法。OpenAI 通过公开调查结果，旨在建立行业透明度并向监管机构展示其在维护信息安全方面的防御效能，强化了其在 AI 治理领域的话语权。,0,OpenAI,https://openai.com/index/disrupting-malicious-ai-uses/,,,,,,,,,,,,,,,
2026/2/26,商业动态,OpenAI,亚马逊对 OpenAI 投资协议细则曝光，注资条款与 IPO 或 AGI 达成进度挂钩,内部文件披露亚马逊在考虑对 OpenAI 进行新一轮投资时，加入了针对退出机制的严苛条款。核心要求包括若 OpenAI 在特定年限内未能启动 IPO，或未能达成公认的技术里程碑，投资方将获得更高比例产生清算优先权。这一动作反映出巨头对 AI 高估值下的避险情绪，可能迫使 OpenAI 在技术研发与商业变现之间采取更激进的平衡策略。,0,The Information,https://www.theinformation.com/briefings/amazons-openai-investment-link-funding-ipo-agi,,,,,,,,,,,,,,,
2026/2/26,商业动态,OpenAI,OpenAI 称 ChatGPT 拒绝协助特定的虚假信息操作，安全系统成功拦截违规,OpenAI 官方披露近期其后台拦截系统识别并阻断了针对特定政治事件的规模化虚假信息生成尝试。核心事实是模型通过语义监控机制，自动识别出违反政策的指令。这一动作旨在向全球监管机构证明大模型具备自我净化的防御能力，已成为 OpenAI 处理地缘政治压力、维护公众信任度的重要品牌公关手段。,0,Bloomberg,https://www.bloomberg.com/news/articles/2026-02-26/openai-says-chatgpt-refused-to-help-chinese-influence-operations?srnd=phx-ai,,,,,,,,,,,,,,,
2026/2/26,商业动态,OpenClaw,Google 大规模封禁 OpenClaw 用户引发抗议，折射巨头私有协议与开源冲突,针对 Google 频繁封禁调用 Gemini 接口的 OpenClaw 用户账号，其创始人公开表达抗议，称 Google 在无预警下直接切断服务。Google 的行为被解读为通过技术围堵防止开源生态侵蚀其云服务利润。此冲突暴露了巨头私有生态与开源兼容层之间的矛盾，可能迫使开发者转向政策更透明、生态更开放的模型厂商。,0,机器之心,https://mp.weixin.qq.com/s/fAyMyfGxX5UocuP8iDb3Mw,,,,,,,,,,,,,,,
2026/2/26,商业动态,xAI,xAI对OpenAI商业机密侵权指控被驳回，法院裁定原告证据不足,美国法院正式裁定驳回xAI对OpenAI及奥特曼关于商业机密侵权的法律诉讼。法官认为xAI未能提供具体受保护信息的流向证据。这一裁决意味着OpenAI在合规经营方面暂时免受法律干扰，马斯克试图通过司法途径限制竞争对手发展的尝试遭遇挫折。此案结果对于行业人才流动及技术保护边界具有判例意义。,0,财联社AI daily,https://mp.weixin.qq.com/s/zljJLZrdHeqQ5bz5C3kHSw,,,,,,,,,,,,,,,
2026/2/26,产品动态,xAI,xAI宣布Grok 3模型正式回归，强化实时搜索与多模态文件解析功能,xAI确认升级版Grok 3模型正式上线，该版本深度整合了X平台的实时信息流。核心动作包括引入了增强的多模态理解能力，支持用户上传图像与文档进行复杂推演。Grok 3被定位为具备实时性的差异化AI工具，旨在通过更具批判性的回复内容，在主流聊天机器人市场中实现竞争，抢占信息检索入口。,0,机器之心,https://mp.weixin.qq.com/s/VFYbX07o6TNp5c3f9T3JDg,,,,,,,,,,,,,,,
2026/2/26,技术迭代,阿里巴巴,Qwen3.5-27B-Thinking中文测评发布，数理逻辑能力展现高性价比优势,阿里巴巴发布Qwen3.5-27B-Thinking模型，针对强化学习路径进行深度优化。在第三方中文测评中，该模型在数学竞赛题及逻辑推演任务上展现出显著优势，被定位为理科特长模型。核心动作是通过思维链延长提升了复杂问题的解题成功率，旨在为开发者提供高性能且低部署成本的推理工具。,1,SuperCLUE,https://mp.weixin.qq.com/s/EfRCog4S55eUpxCbZXh94g,,,,,,,,,,,,,,,
2026/2/26,技术迭代,阿里巴巴,Qwen3.5-122B-A10B中文测评发布，擅长理科逻辑但在代码构建方面存在短板,阿里巴巴Qwen3.5-122B-A10B模型完成中文基准测试，结果显示其在理科综合素质与常识问答中表现突出。该模型利用激活参数实现了对庞大知识库的高效索引，但在复杂系统架构的代码生成任务中，准确率与头部模型相比仍有差距。这种性能分布特征使其更适合作为通用的理科知识助手。,1,SuperCLUE,https://mp.weixin.qq.com/s/gMfHZc2isdiyNMyt5rwm7A,,,,,,,,,,,,,,,
2026/2/26,技术迭代,阿里巴巴,Qwen3.5-397B-A17B中文测评发布，以17B激活参数实现近400B总参数规模推理性能,阿里巴巴开源Qwen3.5-397B-A17B模型，采用397B总参数配合17B激活参数架构。核心动作是在保持千亿级模型逻辑能力的基础上，通过精细的专家路由机制提升了模型在海量知识点间的检索效率，解决了超大规模模型推理成本过高的痛点。该模型发布标志着阿里在架构优化上进入世界先进行列。,1,SuperCLUE,https://mp.weixin.qq.com/s/_jWzUJnwB6mtkUae-qWQSQ,,,,,,,,,,,,,,,
2026/2/26,数据洞察,阿里巴巴,Qwen3.5-35B-A3B 包揽 Hugging Face 趋势榜前列，24小时内全球登顶,阿里巴巴 Qwen3.5 系列模型在开源社区引发爆发式关注，上线不足一天即占据全球热度榜前列。其中 Qwen3.5-35B-A3B 凭借卓越的逻辑推理优势，在发布 24 小时内夺得榜首。这一事实反映了全球开发者对高能效比模型的高度渴求。阿里通过开源策略成功截流了大量开发者的算力需求，显著提升了其在国际开源生态中的话语权。,0,千问大模型,https://mp.weixin.qq.com/s/2NcK5g4awDgs8uNum-PbsA,,,,,,,,,,,,,,,
2026/2/26,商业动态,百度,百度连续三个季度营收萎缩，核心 AI 业务增长尚不足以抵消广告业务下滑,百度最新财报显示其销售额出现连续三个季度的同比下降，市场将其归因为 AI 变现周期滞后。尽管文心一言用户数增长显著，但其贡献的增量收入尚不足以填补传统广告业务因市场竞争加剧而缩减的缺口。这一动作引发资本市场对百度转型效率的质疑，促使其急需在企业级大模型及自动驾驶等高收益领域实现规模化盈利。,0,Bloomberg,https://www.bloomberg.com/news/articles/2026-02-26/baidu-sales-shrink-for-third-consecutive-quarter-on-its-ai-lag?srnd=phx-ai,,,,,,,,,,,,,,,
2026/2/26,商业动态,荣耀,荣耀宣布将发布机器人手机，通过硬件形变集成AI实体交互能力,荣耀在科技大会上披露正在研发“机器人手机”品类，核心是将柔性折叠屏技术与仿生机器人结构结合。该产品将搭载高算力端侧AI芯片，支持手机通过物理结构形变实现独立站立与环境感知。这种尝试标志着智能手机从纯数字助手向物理实体助手的跨越，旨在探索AI在移动终端的全新交互边界。,0,财联社AI daily,https://mp.weixin.qq.com/s/pwVy4VzhKQylTqRMM4GETg,,,,,,,,,,,,,,,
2026/2/26,产品动态,三星,三星发布 Galaxy S26 系列AI手机，深度集成 Google Gemini 实现系统重构,三星正式展示 Galaxy S26 系列AI手机，核心特征是预装了深度优化的 Gemini 端侧大模型。该系列手机支持全系统级的AI重构，涵盖实时通话翻译、图片生成消除及系统级意图识别。三星通过与 Google 的底层合作，实现了AI功能在移动终端的丝滑调用，旨在通过软硬结合重塑高端手机市场的竞争力。,0,智东西,https://mp.weixin.qq.com/s/qgcijTJavMm4UtMHn5Wu-g,,,,,,,,,,,,,,,
2026/2/26,春节活动,腾讯,腾讯元宝对春节期间响应延迟致歉，承诺优化高并发性能并补偿用户,腾讯元宝针对春节期间访问量激增导致的响应延迟及活动逻辑漏洞发布致歉声明，承认在高并发场景下系统稳定性存在短板。公司随即启动紧急扩容计划，并向受影响用户发放额外补偿，旨在挽回品牌口碑。此举反映了C端AI应用在面对现象级流量冲击时，后端基础设施支撑能力仍需高强度迭代。,0,财联社,https://mp.weixin.qq.com/s/1WHnqlvuy3p2EEv_9UrXbQ,,,,,,,,,,,,,,,
2026/2/26,产品动态,英伟达,英伟达发布新一代AI基础设施，大幅提升大规模集群算力互连效率,英伟达在最新发布会中展示了针对超大规模算力中心优化的硬件架构及网络方案。核心动作包括对GPU通信带宽的升级以及配套软件栈的深度融合，旨在缩短超大模型的训练周期。此举进一步强化了其在AI算力领域的垄断优势，通过软硬件一体化方案构建护城河，加速更大型基座模型的诞生。,0,财联社AI daily,https://mp.weixin.qq.com/s/bLPZvv9PWIzb8scNEq_odg,,,,,,,,,,,,,,,
2026/2/26,技术迭代,字节跳动,豆包大模型 2.0 中文通用测评结果发布，确立国产大模型性能领先地位,字节跳动正式发布豆包大模型 2.0，在中文权威基准测评中多项数据位居国产大模型首位。该版本通过底层架构革新，在知识广度、对话连贯性及逻辑严密性方面实现了跨越式升级。测评数据显示其语义对齐能力已能够处理极高复杂度的中文任务，巩固了其作为国内用户基数最大AI应用的底层技术壁垒。,0,SuperCLUE,https://mp.weixin.qq.com/s/ZItRSirz9toEDABRzwRvSw,,,,,,,,,,,,,,,
2026/2/27,技术迭代,Anthropic,Claude 新增视觉感知 Eyes 组件，实现对电脑屏幕与实时视频流的深度理解,Anthropic 发布 Claude 重磅升级，正式上线具备视觉捕捉能力的 Eyes 组件。该功能支持模型实时读取并解析用户的屏幕显示内容。核心动作为 Claude 现在能像人类一样 “看懂” 复杂的软件交互流程，并据此给出操作建议。这种多模态能力的补齐，使 Claude 从单纯的文本模型进化为具备空间认知能力的智能体，拓宽了其在自动化场景的应用。,0,财联社AI daily,https://mp.weixin.qq.com/s/1E0RbqKHRJHiwOFryCAI6g,,,,,,,,,,,,,,,
2026/2/27,产品动态,Anthropic,Claude Code 辅助开发工具偏好清单曝光，揭示 AI 在数千次测试中的技术倾向,研究人员通过对 Claude Code 辅助工具进行数千次测试，破译了该工具在执行任务时的偏好优先级。核心事实显示，该 AI Agent 在选择编译器及版本控制工具时展现出极高的逻辑一致性，倾向于低冗余的开源工具组合。这一清单的公开揭示了模型训练中注入的工程审美。这不仅为开发者提供了参考，也标志着 AI 已开始形成其独有的工程范式。,0,量子位,https://mp.weixin.qq.com/s/fGjGpC0ivEOKLsdrwfKysg,,,,,,,,,,,,,,,
2026/2/27,技术迭代,Anthropic,Claude Code 上线跨会话记忆功能，提升长周期项目开发的代码一致性,Anthropic 为其辅助工具 Claude Code 发布重要更新，允许 AI 跨越多个独立的对话窗口保留对项目全局架构及开发者习惯的持久记忆。核心动作是引入了向量索引机制，使得开发者在开启新任务时无需重复上传背景资料。这一功能解决了 AI 在大型工程中容易遗忘上下文的痛点，提升了系统维护的连贯性，标志着智能体向长效助手迈出了关键一步。,0,Twitter,https://x.com/trq212/status/2027109375765356723?s=61,,,,,,,,,,,,,,,
2026/2/27,产品动态,Anthropic,Anthropic 启动开源支持计划，向万名核心贡献者提供 Claude Max 免费使用权,Anthropic 宣布推出针对开源社区的支持计划，核心动作是向全球符合条件的开源项目维护者提供为期半年的 Claude Max 免费使用权，名额上限一万人。此举旨在通过免费开放顶级算力资源，吸引开发者在其生态内进行创新。其试图通过这种精准公关，在开发者群体中建立技术粘性，构建强大的外围生态护城河，在人才争夺战中获得优势。,0,Claude,https://claude.com/contact-sales/claude-for-oss,,,,,,,,,,,,,,,
2026/2/27,产品动态,Anthropic,Claude 官方开放外部工具连接功能，免费用户现可集成百余款第三方应用,Anthropic 宣布其外部连接功能现已解除付费限制，全量用户均可将 Claude 连接至 Slack、GitHub 等百余个生产力平台。核心功能是 AI 现能直接读取并操作外部工具中的实时数据。此举通过极大地扩展 AI 的功能边界，使 Claude 从单一的对话框演变为连接全网工作流的中枢系统。其意在通过全场景集成策略，在应用深度上对竞争对手实施打击。,0,Twitter,https://x.com/claudeai/status/2027082240833052741,,,,,,,,,,,,,,,
2026/2/27,商业动态,Anthropic,Anthropic 首席执行官拒绝国防部军事化需求，坚持 AI 不参与杀伤性任务,Anthropic 负责人 Dario Amodei 针对政府部门的压力发布官方立场，明确公司参与防御性安全研究，但坚决拒绝将 Claude 模型集成至任何直接涉及进攻性武器决策的任务链中。这一动作旨在平衡政府订单利润与公司长期奉行的安全伦理。其通过设立红线来抵御技术滥用，维持了其在安全合规领域的品牌领先地位，也明确了公司在敏感地缘政治背景下的商业边界。,0,The Information,https://www.theinformation.com/briefings/anthropic-ceo-says-company-agree-pentagon-demands,,,,,,,,,,,,,,,
2026/2/27,数据洞察,Anthropic,Claude 3.5 日均注册量自去年底起翻三倍，核心凭借口碑效应在专业群体破圈,泄露的内部增长数据显示， Anthropic 旗下的 Claude 3.5 模型近期流量出现指数级跃升，日活跃注册用户数较数月前增长 300%。核心驱动力被归结为新版本在编程辅助上的口碑破圈。尽管在营销投入上远低于竞品，但其凭借极高的用户留存率成功在高端专业群体中实现了病毒式传播。这一增长标志着其已成功从实验室向主流消费级巨头转型，具备了抗衡顶尖竞品的用户基础。,0,The Information,https://www.theinformation.com/briefings/exclusive-anthropic-says-daily-signups-claude-chatbot-tripled-since-november,,,,,,,,,,,,,,,
2026/2/27,技术迭代,DeepSeek,DeepSeek V4 框架发布，通过闲置资源加速技术打破模型推理瓶颈,DeepSeek 技术团队公开其 DeepSeek V4 架构核心细节，提出了一种创新的异构计算加速方案，利用集群中闲置算力参与模型推理。核心动作是解决了长期困扰大规模系统的任务堆积痛点，显著提升了智能体的响应并发度。这一底层架构创新意味着在不增加额外 GPU 投入的前提下，实现了推理性能的增长，为解决全球算力危机提供了高效方案。,0,量子位,https://mp.weixin.qq.com/s/RkYyJyuRhAiEtAdW2yiXgg,,,,,,,,,,,,,,,
2026/2/27,技术迭代,Google,Google 推出 Nano Banana 2 并登顶测评竞技场，大幅下调 API 单价压制竞对,Google 正式发布 Nano Banana 2 模型，该模型在第三方竞技场测评中夺冠。核心动作是在性能提升的同时，官方宣布向所有开发者提供免费使用额度，并将其商业版 API 单价直接减半。这一激进的降价策略旨在通过能效比与价格优势，清理市场上的中小型大模型初创公司，重夺对底层模型定价权的主导。,1,Google,https://blog.google/innovation-and-ai/technology/ai/nano-banana-2/,,,,,,,,,,,,,,,
2026/2/27,技术迭代,Google,Google 推出新训练机制，赋予大模型因果纠缠理解力以终结随机鹦鹉争议,Google 研究实验室发布技术成果，通过引入因果纠缠机制使模型具备区分相关性与因果性的能力。核心动作是从根本上改变了模型基于概率预测下一个字符的底层逻辑，使其能够对输出结果进行真实的逻辑回溯。这一突破提升了模型的确定性，为 AI 进入精密医疗等严苛领域扫清了障碍，标志着大模型智力水平的本质提升。,0,新智元,https://mp.weixin.qq.com/s/DYuP3QnaDA3qHeb57g0bSA,,,,,,,,,,,,,,,
2026/2/27,产品动态,Google,Google 翻译正式接入 Gemini 模型，提供实时语境纠错与文体风格转换,Google 翻译服务宣布全面底层重构，接入 Gemini 模型。核心功能包括根据用户选择的场合自动调整译文语气，并对翻译过程中的逻辑矛盾进行预警。此举标志着翻译工具从简单的映射升级为具备意图感知能力的语义转换工具，极大降低了跨语言沟通的信息损耗。Google 试图通过 AI 翻译能力的升级，巩固其在全球办公应用中的地位。,0,Google,https://blog.google/products-and-platforms/products/translate/translation-context-ai-update,,,,,,,,,,,,,,,
2026/2/27,产品动态,Google,Google Stitch 上线直接编辑功能，支持在界面内部通过 Gemini 进行精准微调,Google 设计工具 Stitch 发布重要更新，核心动作是允许用户直接在成稿内部手动修改，或选中组件提示 AI 进行迭代更新，无需切换环境。通过这种所见即所得的交互优化，显著提升了设计成品的最终润色效率。其进化显示了 Google 正在将大模型能力深度织入专业创造软件的每一个操作环节，旨在通过无缝的编辑体验留住专业设计用户。,0,Twitter,https://x.com/stitchbygoogle/status/2027082165490794824,,,,,,,,,,,,,,,
2026/2/27,商业动态,Google,Alphabet 将机器人子公司并入 Google 核心，依托 Gemini 加速物理 AI 发展,Alphabet 宣布整合资源，将专注于机器人的子公司 Intrinsic 正式并入 Google。核心动作是整合 DeepMind 算法与大模型资源，旨在为物理 AI 开发具备常识理解能力的通用大脑。此次合并标志着其开启物理 AI 战略，试图将大模型的能力从虚拟屏幕引向实体制造。通过算力与机械的深度融合，旨在抢占下一代智能制造的技术制高点。,0,Google,https://blog.google/alphabet/intrinsic-joins-google/,,,,,,,,,,,,,,,
2026/2/27,商业动态,Google,Google 与 Meta 达成多项芯片战略协议，联手对冲英伟达硬件垄断风险,Google 与 Meta 正式签署涉及金额巨大的战略协议，核心动作是双方将通过联合研发与产能共享，推动非英伟达架构加速器的普及。该协议涵盖了互连协议打通与软件生态互认，旨在为全球开发者提供除 CUDA 以外的第二套成熟算力选项。这一巨头结盟直接针对英伟达在高性能算力领域的统治地位，试图通过构建开放算力联盟夺回供应链的话语权。,0,The Information,https://www.theinformation.com/articles/google-strikes-multibillion-dollar-ai-chip-deal-meta-sharpening-nvidia-rivalry,,,,,,,,,,,,,,,
2026/2/27,商业动态,Meta,Meta 自研芯片项目遭遇技术瓶颈，大规模互连与功耗管理仍存难题,内部消息披露， Meta 自研的 MTIA 系列 AI 芯片在最新一轮大规模集群测试中表现未达预期。核心问题在于高负载下的能效比逊于主流竞品，且在数万卡规模的通信互连上存在延迟抖动。这一技术受阻导致其不得不继续增加外部采购预算。该动作凸显了底层芯片研发的极高门槛。即便是顶级巨头，在短时间内打破先发厂商的技术壁垒依然面临巨大的工程挑战。,0,The Information,https://www.theinformation.com/articles/metas-internal-chip-design-efforts-hit-roadblocks,,,,,,,,,,,,,,,
2026/2/27,产品动态,Microsoft,Microsoft 发布 Copilot Tasks 功能，推动 AI 从交互对话向全自动执行转型,Microsoft 发布 Copilot Tasks 功能候补名单，核心动作是引入了一种无需编程的描述即执行机制。用户只需用自然语言描述一个复杂的业务目标，系统即可跨应用自动完成文件处理及日程排布。这一升级标志着其 AI 战略重心从辅助生成向自动代理的实质性迁移。通过将 AI 嵌入执行层，Microsoft 旨在重塑办公流，将工具形态转变为自动执行引擎。,0,Twitter,https://x.com/mustafasuleyman/status/2027111503003107377,,,,,,,,,,,,,,,
2026/2/27,产品动态,Microsoft,Microsoft 上线系统级任务处理功能，实现自然语言驱动的跨应用自动化闭环,Microsoft 正式披露 Copilot Tasks 功能详情，核心事实是用户现在可以通过语音下达复合指令，系统将自动拆解步骤并调用 Office 与系统组件完成闭环。该功能极大降低了构建自动化工作流的门槛，无需用户具备脚本编写能力。通过将 AI 定位为执行代理，其旨在将 Copilot 打造成为不可或缺的数字员工，预示着交互将进入零点击自动化时代。,0,Twitter,https://x.com/mustafasuleyman/status/2027111503003107377,,,,,,,,,,,,,,,
2026/2/27,商业动态,OpenAI,原 Meta 顶级科学家庞若鸣加盟 OpenAI，主导下一代大模型架构极限突破,原 Meta 顶级研究科学家庞若鸣正式加盟 OpenAI。据知情人士透露，其放弃了高额股权奖励。核心动作是其将在 OpenAI 负责下一代生成式 AI 架构的性能突破。作为视觉与系统优化领域的顶尖人才，他的加盟被视为 OpenAI 在人才争夺战中的重大胜利，预示着 OpenAI 正集结全球顶尖力量，试图在模型能效比上建立压倒性优势。,0,量子位,https://mp.weixin.qq.com/s/sjRqg0cN6WOMGyXk3vxhEQ,,,,,,,,,,,,,,,
2026/2/27,产品动态,OpenAI,OpenAI 发布 Codex CLI 更新，重点升级多智能体协作与语音交互能力,OpenAI 发布 Codex CLI 重大升级，核心引入了终端原生语音交互功能。同时上线了基于批量文件的任务分发系统，支持用户快速生成多个子代理并行处理大规模数据。新增的代码高亮与实时审批机制进一步降低了操作风险。这一动作展示了其将 AI 深度嵌入底层系统终端的野心，旨在通过提升协作密度，让终端窗口成为全能的 AI 控制中心。,0,OpenAI,https://developers.openai.com/codex/changelog,,,,,,,,,,,,,,,
2026/2/27,产品动态,OpenAI,ChatGPT 推出 Library 功能，支持用户资产在不同对话间自动保存与复用,OpenAI 在 ChatGPT 界面新增 Library 资源管理库功能，核心动作是系统会自动索引用户在历史对话中上传的所有文档与图像，支持随时一键调用。用户无需再次上传文件即可让 AI 基于旧数据开启新话题。这一功能显著增强了 ChatGPT 作为知识管理中心的能力，解决了信息孤岛问题。通过构建持久化的用户资产库，OpenAI 正试图提升用户的迁出成本。,0,OpenAI,https://help.openai.com/en/articles/20001052-library-for-chatgpt,,,,,,,,,,,,,,,
2026/2/27,商业动态,OpenAI,OpenAI 建立大规模收并购基金，旨在加速产业链垂直整合与人才吸纳,知名分析师透露 OpenAI 内部已成立专门负责并购业务的部门，核心目标是收购全球范围内具备优质数据资产、特种算法或边缘侧计算能力的初创公司。这一动作标志着其从单一的产品驱动型公司进化为产业整合者。通过资本手段快速补齐短板，其旨在构建一个从底层到顶端全链条闭环。此举将极大地压缩其他小型初创公司的生存空间，促使行业进入整合期。,0,The Information,https://www.theinformation.com/newsletters/dealmaker/openai-builds-m-war-chest,,,,,,,,,,,,,,,
2026/2/27,商业动态,OpenAI,OpenAI 证实安全系统拦截犯罪意图咨询，新规下可实现暴力风险提前预警,在针对近期安全事件的回溯分析中， OpenAI 官方表示根据其最新升级的恶意行为检测规则，系统已能识别出复杂的暴力倾向指令。核心事实是若嫌疑人利用大模型进行战术咨询，系统将自动触发预警并向执法机构同步。这一披露旨在向社会证明 AI 平台正在加强主动安防建设，通过强化对极端言论的干预能力，其试图在合规领域确立新的全球工业标准。,0,Bloomberg,https://www.bloomberg.com/news/articles/2026-02-26/openai-would-ve-flagged-tumbler-ridge-suspect-to-police-under-new-rules?srnd=phx-ai,,,,,,,,,,,,,,,
2026/2/27,技术迭代,阿里巴巴,Qwen3.5-35B-A3B 测评发布，在数学逻辑领域领跑同参数规模模型,阿里巴巴 Qwen3.5-35B-A3B 模型完成中文深度测评，在数学推理与科学问答任务中表现惊人，显著超越了参数规模更大的竞品。核心特征在于其针对思维链路径进行了强化训练，使其在有限激活参数下具备了极强的逻辑推导密度。该模型极大地降低了开发者部署专业级逻辑助手时的硬件门槛，标志着阿里在能效平衡上取得进展。,1,SuperCLUE,https://mp.weixin.qq.com/s/v9URu6V20yAto91CHdxfpw,,,,,,,,,,,,,,,
2026/2/27,春节活动,阿里巴巴,通义千问春节免单权益延期至3月3日，通过权益补偿策略深耕长周期用户留存,阿里巴巴宣布其在春节期间推出的权益活动将延期关停。核心动作是通过延长权益有效期，将春节期间爆发式增长的短期用户转化为长期活跃用户。活动期间，通义千问在算力调度上维持了极高的稳定性，支撑了千万级并发请求。此次延期反映了阿里对用户留存率的深度关注，意在节后开工潮中继续抢占生产力工具的市场份额。,0,千问APP,https://mp.weixin.qq.com/s/dsWlM4eaVHCp9qtMwjvKGg,,,,,,,,,,,,,,,
2026/2/27,商业动态,百度,百度 AI 业务收入占比升至 43%，进入从技术投入到商业兑现的关键转折期,百度在年度报告中披露，其生成式 AI 及云业务贡献的收入已占总营收的 43%。核心动因在于文心大模型在行业的大规模交付以及搜索业务的 AI 原生化改造。尽管整体营收增速放缓，但 AI 业务的高占比证明了其技术底座的商业化能力。百度目前的战略重心已转向利用 AI 溢价提升利润率，旨在通过规模效应实现持续增长。,0,财联社,https://mp.weixin.qq.com/s/7xoKsDCkg69MjBYdPvZCMg,,,,,,,,,,,,,,,
2026/2/27,商业动态,百度,百度发布 2025 年 Q4 财报，AI 核心业务年收入增长显著但整体利润率面临考验,百度官方财报显示，其生成式 AI 及相关云服务已成为支撑业绩增长的第一增长引擎。核心数据揭露了文心一言模型调用量的持续爆发。然而，受算力基础设施建设前期巨大投入影响，整体毛利率仍处于波动期。百度的战略重点已转移至提升单次调用收益及优化推理成本，旨在通过规模效应实现 AI 业务的利润转正，重塑投资者对其技术变现能力的信心。,0,百度,https://mp.weixin.qq.com/s/IxCzeTlzH1DxH6WWb69y2A,,,,,,,,,,,,,,,
2026/2/27,数据洞察,其他,中国 AI 模型日均调用量首超美国，开发者生态活跃度迎来历史性转折点,权威数据监测显示，2026年初中国开发者对主流大模型的 API 日均调用次数首次超越美国。这一核心事实背后是国内 C 端应用及垂直行业落地的全面爆发。驱动力在于国产模型性能提升带来的低成本红利。调用量的超越标志着中国已从大模型 “跟跑者” 转变为全球最大的 AI 应用创新场，预示着数据飞轮将加速国产模型的成熟。,0,财联社,https://mp.weixin.qq.com/s/Gwd733hGD4ikpZ4LyZA9Gg,,,,,,,,,,,,,,,
2026/2/27,技术迭代,其他,国产视频模型黑马杀入全球评分榜前二，在运动一致性方面实现关键突破,在最新的国际视频模型评分榜中，一款国产模型凭借卓越的物理仿真能力突然崛起，评分位居全球第二。核心动作为该模型解决了长距离运动中人物形变与背景闪烁的行业顽疾，实现了高一致性视频输出。这一技术突破意味着国产视频生成技术已跨越了从动图到影视级素材生成的红线，标志着视频大模型赛道已进入全球化竞争阶段。,0,量子位,https://mp.weixin.qq.com/s/5AXAnxerlKDNfBujX9VHhQ,,,,,,,,,,,,,,,
2026/2/27,商业动态,其他,2026年长周期智能体投资地图发布，开源框架广泛适配成为风向标,权威投资分析报告指出，具备自主拆解任务与持久执行能力的 AI 已成为资本最核心的流入方向。报告以开源智能体框架的全球化适配作为技术落地成熟的关键信号。核心事实是资本正从基座大模型赛道大面转向能产生真实业务闭环的工具链。这预示着未来一年， AI 产业将迎来从模型竞赛向数字员工商用化竞赛的全面转型，应用落地成为首要指标。,0,海外独角兽,https://mp.weixin.qq.com/s/EDJRZQLdNRs-gKzWFWigTQ,,,,,,,,,,,,,,,
2026/2/27,商业动态,英伟达,全球巨头因高额算力成本寻求逃离英伟达，自研芯片计划或动摇行业垄断,数据显示，全球顶级科技巨头在支付了累计 2159 亿美元的英伟达芯片费用后，开始加速自研芯片进程。核心动作包括联合推进通用互连标准，旨在打破 CUDA 生态的软硬件绑定。这种集体性的逃离行为源于算力成本过高导致的利润压力。该趋势若持续，将削弱英伟达的议价权，促使全球算力市场进入多元化竞争，加速产业链的利益重构。,0,AGI接口,https://mp.weixin.qq.com/s/fLezceLlUBMUuGLuPlrlTQ,,,,,,,,,,,,,,,
2026/2/27,春节活动,字节跳动,豆包等三大 AI 应用春节 DAU 创新高，社交裂变与红包补贴驱动用户激增,2026年春节期间，豆包、通义千问、腾讯元宝三大 AI 应用日活用户集体暴增。其中字节跳动旗下豆包凭借抖音生态深度融合稳居总量首位。通义千问则通过红包免单及 AI 社交模版实现了用户规模的跨越式增长，增长率位居行业第一。这场战役标志着国产 AI 应用已完成初步用户教育，春节正式成为国内大模型厂商争夺国民级入口的核心战场。,1,财联社AI daily,https://mp.weixin.qq.com/s/OsIILTQyoAlxDKC5GkoTUQ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
